Country_ISO,IXP_Count,Total_Estimated_Participants,IXP_Maturity_Stage,Status_Description
Kazakhstan,15,75,3,Single/Emerging National IXP Phase
Ecuador,8,65,3,Single/Emerging National IXP Phase
Saudi Arabia,8,79,3,Single/Emerging National IXP Phase
Mexico,8,112,3,Single/Emerging National IXP Phase
Tanzania,5,79,3,Single/Emerging National IXP Phase
Denmark,5,99,3,Single/Emerging National IXP Phase
Egypt,5,94,3,Single/Emerging National IXP Phase
Pakistan,5,54,3,Single/Emerging National IXP Phase
United Arab Emirates,4,149,3,Single/Emerging National IXP Phase
Portugal,4,146,3,Single/Emerging National IXP Phase
Dominican Republic,4,81,3,Single/Emerging National IXP Phase
Lebanon,4,85,3,Single/Emerging National IXP Phase
Lithuania,4,118,3,Single/Emerging National IXP Phase
Cambodia,4,68,3,Single/Emerging National IXP Phase
Iran,4,60,3,Single/Emerging National IXP Phase
Angola,3,62,3,Single/Emerging National IXP Phase
Belgium,3,111,3,Single/Emerging National IXP Phase
Slovakia,3,127,3,Single/Emerging National IXP Phase
Democratic Republic of Congo,3,36,3,Single/Emerging National IXP Phase
Ghana,3,55,3,Single/Emerging National IXP Phase
Nepal,3,95,3,Single/Emerging National IXP Phase
Malawi,3,16,3,Single/Emerging National IXP Phase
Viet Nam,3,30,3,Single/Emerging National IXP Phase
Mongolia,3,5,3,Single/Emerging National IXP Phase
Paraguay,3,85,3,Single/Emerging National IXP Phase
Sri Lanka,3,10,3,Single/Emerging National IXP Phase
Puerto Rico,3,34,3,Single/Emerging National IXP Phase
Bahrain,3,22,3,Single/Emerging National IXP Phase
Uzbekistan,3,94,3,Single/Emerging National IXP Phase
Kyrgyzstan,3,21,3,Single/Emerging National IXP Phase
Cameroon,3,23,3,Single/Emerging National IXP Phase
Georgia,3,52,3,Single/Emerging National IXP Phase
Honduras,3,35,3,Single/Emerging National IXP Phase
Venezuela,3,50,3,Single/Emerging National IXP Phase
Croatia,2,40,3,Single/Emerging National IXP Phase
Luxembourg,2,98,3,Single/Emerging National IXP Phase
Laos,2,7,3,Single/Emerging National IXP Phase
Swaziland,2,0,3,Single/Emerging National IXP Phase
Zimbabwe,2,10,3,Single/Emerging National IXP Phase
Burundi,2,10,3,Single/Emerging National IXP Phase
Zambia,2,34,3,Single/Emerging National IXP Phase
Cote D'Ivoire,2,15,3,Single/Emerging National IXP Phase
Costa Rica,2,68,3,Single/Emerging National IXP Phase
Tunisia,2,28,3,Single/Emerging National IXP Phase
Myanmar,2,34,3,Single/Emerging National IXP Phase
Bolivia,2,25,3,Single/Emerging National IXP Phase
Albania,2,31,3,Single/Emerging National IXP Phase
Burkina Faso,2,24,3,Single/Emerging National IXP Phase
Trinidad and Tobago,2,21,3,Single/Emerging National IXP Phase
Liechtenstein,2,39,3,Single/Emerging National IXP Phase
Palestine,2,20,3,Single/Emerging National IXP Phase
Senegal,2,6,3,Single/Emerging National IXP Phase
Somalia,2,6,3,Single/Emerging National IXP Phase
Morocco,2,3,3,Single/Emerging National IXP Phase
Qatar,2,22,3,Single/Emerging National IXP Phase
Republic of Congo,2,8,3,Single/Emerging National IXP Phase
Guatemala,2,46,3,Single/Emerging National IXP Phase
Guam,2,17,3,Single/Emerging National IXP Phase
Tajikistan,2,11,3,Single/Emerging National IXP Phase
Mauritania,2,0,3,Single/Emerging National IXP Phase
Oman,2,20,3,Single/Emerging National IXP Phase
Hungary,1,122,3,Single/Emerging National IXP Phase
Serbia,1,42,3,Single/Emerging National IXP Phase
Israel,1,21,3,Single/Emerging National IXP Phase
Panama,1,30,3,Single/Emerging National IXP Phase
Slovenia,1,21,3,Single/Emerging National IXP Phase
Moldova,1,13,3,Single/Emerging National IXP Phase
Uganda,1,33,3,Single/Emerging National IXP Phase
Iceland,1,30,3,Single/Emerging National IXP Phase
Rwanda,1,25,3,Single/Emerging National IXP Phase
Grenada,1,12,3,Single/Emerging National IXP Phase
Haiti,1,9,3,Single/Emerging National IXP Phase
Curaçao,1,12,3,Single/Emerging National IXP Phase
Sint Maarten,1,8,3,Single/Emerging National IXP Phase
Botswana,1,0,3,Single/Emerging National IXP Phase
Mauritius,1,21,3,Single/Emerging National IXP Phase
Dominica,1,6,3,Single/Emerging National IXP Phase
El Salvador,1,6,3,Single/Emerging National IXP Phase
Mozambique,1,15,3,Single/Emerging National IXP Phase
Cyprus,1,3,3,Single/Emerging National IXP Phase
Vanuatu,1,10,3,Single/Emerging National IXP Phase
Cuba,1,5,3,Single/Emerging National IXP Phase
Malta,1,0,3,Single/Emerging National IXP Phase
Nicaragua,1,0,3,Single/Emerging National IXP Phase
Sudan,1,7,3,Single/Emerging National IXP Phase
Armenia,1,21,3,Single/Emerging National IXP Phase
Kuwait,1,19,3,Single/Emerging National IXP Phase
Jordan,1,18,3,Single/Emerging National IXP Phase
Djibouti,1,22,3,Single/Emerging National IXP Phase
Bhutan,1,20,3,Single/Emerging National IXP Phase
Bosnia and Herzegovina,1,11,3,Single/Emerging National IXP Phase
North Macedonia,1,21,3,Single/Emerging National IXP Phase
Jamaica,1,5,3,Single/Emerging National IXP Phase
Montenegro,1,5,3,Single/Emerging National IXP Phase
Benin,1,5,3,Single/Emerging National IXP Phase
Martinique,1,6,3,Single/Emerging National IXP Phase
Afghanistan,1,20,3,Single/Emerging National IXP Phase
Namibia,1,12,3,Single/Emerging National IXP Phase
Gambia,1,7,3,Single/Emerging National IXP Phase
Saint Kitts and Nevis,1,9,3,Single/Emerging National IXP Phase
Mali,1,3,3,Single/Emerging National IXP Phase
Togo,1,8,3,Single/Emerging National IXP Phase
Lesotho,1,8,3,Single/Emerging National IXP Phase
Guinea,1,11,3,Single/Emerging National IXP Phase
Belize,1,9,3,Single/Emerging National IXP Phase
Gabon,1,8,3,Single/Emerging National IXP Phase
Liberia,1,4,3,Single/Emerging National IXP Phase
Chad,1,16,3,Single/Emerging National IXP Phase
Saint Vincent and the Grenadines,1,5,3,Single/Emerging National IXP Phase
Papua New Guinea,1,13,3,Single/Emerging National IXP Phase
Belarus,1,9,3,Single/Emerging National IXP Phase
Kosovo,1,0,3,Single/Emerging National IXP Phase
Algeria,1,0,3,Single/Emerging National IXP Phase
Azerbaijan,1,0,3,Single/Emerging National IXP Phase
Saint Lucia,1,5,3,Single/Emerging National IXP Phase
Seychelles,1,0,3,Single/Emerging National IXP Phase
Madagascar,1,9,3,Single/Emerging National IXP Phase
Niger,1,0,3,Single/Emerging National IXP Phase
Timor-Leste,1,3,3,Single/Emerging National IXP Phase
Syria,1,0,3,Single/Emerging National IXP Phase
Barbados,1,0,3,Single/Emerging National IXP Phase
Bahamas,1,0,3,Single/Emerging National IXP Phase
Iraq,1,42,3,Single/Emerging National IXP Phase
Brunei Darussalam,1,12,3,Single/Emerging National IXP Phase
Sint Eustatius,1,8,3,Single/Emerging National IXP Phase
Maldives,1,8,3,Single/Emerging National IXP Phase
Saint Barthélemy,1,10,3,Single/Emerging National IXP Phase
Suriname,1,8,3,Single/Emerging National IXP Phase
British Virgin Islands,1,9,3,Single/Emerging National IXP Phase
Sierra Leone,1,0,3,Single/Emerging National IXP Phase
Tuvalu,1,0,3,Single/Emerging National IXP Phase
Guyana,1,0,3,Single/Emerging National IXP Phase
Cape Verde,1,5,3,Single/Emerging National IXP Phase
Fiji,1,7,3,Single/Emerging National IXP Phase
Saint Martin,1,6,3,Single/Emerging National IXP Phase
South Sudan,1,0,3,Single/Emerging National IXP Phase
Ethiopia,1,3,3,Single/Emerging National IXP Phase
United States,242,6738,4,Regional & Content-Rich Phase (Decentralized/CDNs Present)
Brazil,55,388,4,Regional & Content-Rich Phase (Decentralized/CDNs Present)
Russia,43,3410,4,Regional & Content-Rich Phase (Decentralized/CDNs Present)
Germany,42,3234,4,Regional & Content-Rich Phase (Decentralized/CDNs Present)
France,41,1557,4,Regional & Content-Rich Phase (Decentralized/CDNs Present)
Australia,40,2232,4,Regional & Content-Rich Phase (Decentralized/CDNs Present)
Canada,38,1079,4,Regional & Content-Rich Phase (Decentralized/CDNs Present)
